product_id,product_name,main_category,sub_category,discounted_price,actual_price,discount_pct,rating,rating_count,price_tier_label
B0BP89YBC1,Campfire Spring Chef Prolix Instant Portable Water Heater Geyser 1Ltr. for Use Home Stainless Steel Baking Rack | Restaurant | Office | Labs | Clinics | Saloon | with Installation Kit (With MCB),Home&Kitchen,"Heating,Cooling&AirQuality",1499.0,3500.0,57.0,4.7,2591,중가
B08WRKSF9D,"V-Guard Divino 5 Star Rated 15 Litre Storage Water Heater (Geyser) with Advanced Safety Features, White",Home&Kitchen,"Heating,Cooling&AirQuality",6499.0,8500.0,24.0,4.4,5865,고가
B06XR9PR5X,"Amazon Basics HDMI Coupler,Black",Electronics,HomeAudio,209.0,600.0,65.0,4.4,18872,저가
B07NC12T2R,"boAt Stone 650 10W Bluetooth Speaker with Upto 7 Hours Playback, IPX5 and Integrated Controls (Blue)",Electronics,HomeAudio,1799.0,4990.0,64.0,4.2,41226,중가
B09LQQYNZQ,Realme Smart TV Stick 4K,Electronics,HomeAudio,4699.0,4699.0,0.0,4.5,224,고가
B07BKSSDR2,Dr Trust Electronic Kitchen Digital Scale Weighing Machine (Blue),Health&PersonalCare,HomeMedicalSupplies&Equipment,899.0,1900.0,53.0,4.0,3663,저가
B08243SKCK,"Vedini Transparent Empty Refillable Reusable Fine Mist Spray Bottle for Perfume, Travel with DIY Sticker Set ( 100ml, Pack of 4)",Home&Kitchen,HomeStorage&Organization,189.0,299.0,37.0,4.2,2737,저가
B083RC4WFJ,"PrettyKrafts Laundry Bag / Basket for Dirty Clothes, Folding Round Laundry Bag,Set of 2, Black Wave",Home&Kitchen,HomeStorage&Organization,320.0,799.0,60.0,4.2,3846,중가
B095XCRDQW,"Esquire Laundry Basket Brown, 50 Ltr Capacity(Plastic)",Home&Kitchen,HomeStorage&Organization,950.0,1599.0,41.0,4.3,5911,고가
B07RY2X9MP,"AmazonBasics 10.2 Gbps High-Speed 4K HDMI Cable with Braided Cord (10-Foot, Dark Grey)",Electronics,"HomeTheater,TV&Video",609.0,1500.0,59.0,4.5,1029,저가
B08TGG316Z,"10k 8k 4k HDMI Cable, Certified 48Gbps 1ms Ultra High Speed HDMI 2.1 Cable 4k 120Hz 144Hz 2k 165Hz 8k 60Hz Dynamic HDR ARC eARC DTS:X Compatible for Mac Gaming PC Soundbar TV Monitor Laptop PS5 4 Xbox",Electronics,"HomeTheater,TV&Video",999.0,2399.0,58.0,4.6,3664,중가
B09WN3SRC7,Sony Bravia 164 cm (65 inches) 4K Ultra HD Smart LED Google TV KD-65X74K (Black),Electronics,"HomeTheater,TV&Video",77990.0,139900.0,44.0,4.7,5935,고가
B01LWYDEQ7,"Pigeon Polypropylene Mini Handy and Compact Chopper with 3 Blades for Effortlessly Chopping Vegetables and Fruits for Your Kitchen (12420, Green, 400 ml)",Home&Kitchen,Kitchen&Dining,199.0,495.0,60.0,4.1,270563,저가
B0BQ3K23Y1,"Oratech Coffee Frother electric, milk frother electric, coffee beater, cappuccino maker, Coffee Foamer, Mocktail Mixer, Coffee Foam Maker, coffee whisker electric, Froth Maker, coffee stirrers electric, coffee frothers, Coffee Blender, (6 Month Warranty) (Multicolour)",Home&Kitchen,Kitchen&HomeAppliances,279.0,499.0,44.0,4.8,28,저가
B083GKDRKR,"Havells Aqua Plus 1.2 litre Double Wall Kettle / 304 Stainless Steel Inner Body / Cool touch outer body / Wider mouth/ 2 Year warranty (Black, 1500 Watt)",Home&Kitchen,Kitchen&HomeAppliances,1625.0,2995.0,46.0,4.5,23484,중가
B0B53DS4TF,"Instant Pot Air Fryer, Vortex 2QT, Touch Control Panel, 360° EvenCrisp™ Technology, Uses 95 % less Oil, 4-in-1 Appliance: Air Fry, Roast, Bake, Reheat (Vortex 1.97Litre, Black)",Home&Kitchen,Kitchen&HomeAppliances,4995.0,20049.0,75.0,4.8,3964,고가
